index,chr,pos_start,pos_end,comp_name,comp_rank,continous_rank
0,chr16,1,10000,A.1.1.1.2.2.1,1.0,0.973684210526316
1,chr16,10001,20000,A.1.1.1.2.2.1,1.0,0.973684210526316
2,chr16,20001,30000,A.1.1.1.2.2.1,1.0,0.973684210526316
3,chr16,30001,40000,A.1.1.1.2.2.1,1.0,0.973684210526316
4,chr16,40001,50000,A.1.1.1.2.2.1,1.0,0.973684210526316
5,chr16,50001,60000,A.1.1.1.2.2.1,1.0,0.973684210526316
6,chr16,60001,70000,A.1.1.1.2.2.1,1.0,0.973684210526316
7,chr16,70001,80000,A.1.1.1.2.2.1,1.0,0.973684210526316
8,chr16,80001,90000,A.1.1.1.2.2.1,1.0,0.973684210526316
9,chr16,90001,100000,A.1.1.1.2.2.1,1.0,0.973684210526316
10,chr16,100001,110000,A.1.1.1.2.2.1,1.0,0.973684210526316
11,chr16,110001,120000,A.1.1.1.2.2.1,1.0,0.973684210526316
12,chr16,120001,130000,A.1.1.1.2.2.1,1.0,0.973684210526316
13,chr16,130001,140000,A.1.1.1.2.2.1,1.0,0.973684210526316
14,chr16,140001,150000,A.1.1.1.2.2.1,1.0,0.973684210526316
15,chr16,150001,160000,A.1.1.1.2.2.1,1.0,0.973684210526316
16,chr16,160001,170000,A.1.1.1.2.2.1,1.0,0.973684210526316
17,chr16,170001,180000,A.1.1.1.2.2.1,1.0,0.973684210526316
18,chr16,180001,190000,A.1.1.1.2.2.1,1.0,0.973684210526316
19,chr16,190001,200000,A.1.1.1.2.2.1,1.0,0.973684210526316
20,chr16,200001,210000,A.1.1.1.2.2.1,1.0,0.973684210526316
21,chr16,210001,220000,A.1.1.1.2.2.1,1.0,0.973684210526316
22,chr16,220001,230000,A.1.1.1.2.2.1,1.0,0.973684210526316
23,chr16,230001,240000,A.1.1.1.2.2.1,1.0,0.973684210526316
24,chr16,240001,250000,A.1.1.1.2.2.1,1.0,0.973684210526316
25,chr16,250001,260000,A.1.1.1.2.2.1,1.0,0.973684210526316
26,chr16,260001,270000,A.1.1.1.2.2.1,1.0,0.973684210526316
27,chr16,270001,280000,A.1.1.1.2.2.1,1.0,0.973684210526316
28,chr16,280001,290000,A.1.1.1.2.2.1,1.0,0.973684210526316
29,chr16,290001,300000,A.1.1.1.2.2.1,1.0,0.973684210526316
30,chr16,300001,310000,A.1.1.1.2.2.1,1.0,0.973684210526316
31,chr16,310001,320000,A.1.1.1.2.2.1,1.0,0.973684210526316
32,chr16,320001,330000,A.1.1.1.2.2.1,1.0,0.973684210526316
33,chr16,330001,340000,A.1.1.1.2.2.1,1.0,0.973684210526316
34,chr16,340001,350000,A.1.1.1.2.2.1,1.0,0.973684210526316
35,chr16,350001,360000,A.1.1.1.2.2.1,1.0,0.973684210526316
36,chr16,360001,370000,A.1.1.1.2.2.1,1.0,0.973684210526316
37,chr16,370001,380000,A.1.1.1.2.2.1,1.0,0.973684210526316
38,chr16,380001,390000,A.1.1.1.2.2.1,1.0,0.973684210526316
